title,year_of_release,duration_in_minutes,genre,tomato_score,pop_score
Gangs_of_Wasseypur,2012,321,"Action, Comedy, Crime",97,90
Secret_in_Their_Eyes,2009,129,"Drama, Mystery, Romance",89,93
Dune,2021,155,"Action, Adventure, Drama",,75
Shutter_Island,2010,138,"Mystery, Thriller",Not found,Not found
Up,2009,96,"Animation, Adventure, Comedy",98,90
Wolf_of_Wall_Street,2013,180,"Biography, Comedy, Crime",Not found,Not found
My_Father_and_My_Son,2005,112,"Drama, Family",Not found,Not found
There_Will_Be_Blood,2007,158,Drama,91,86
Pans_Labyrinth,2006,118,"Drama, Fantasy, War",95,91
Toy_Story_3,2010,103,"Animation, Adventure, Comedy",98,90
Batman_Begins,2005,140,"Action, Adventure",84,94
Downfall,2004,156,"Biography, Drama, History",90,94
Howls_Moving_Castle,2004,119,"Animation, Adventure, Family",87,93
A_Beautiful_Mind,2001,135,"Biography, Drama",74,93
Lock_Stock_and_Two_Smoking_Barrels,1998,107,"Action, Comedy, Crime",75,93
LA_Confidential,1997,138,"Crime, Drama, Mystery",99,94
Bandit,1996,121,"Crime, Drama, Thriller",Not found,Not found
Heat,1995,170,"Crime, Drama, Thriller",Not found,Not found
Casino,1995,178,"Crime, Drama",,
Unforgiven,1992,130,"Drama, Western",,
Indiana_Jones_and_the_Last_Crusade,1989,127,"Action, Adventure",88,94
My_Neighbor_Totoro,1988,86,"Animation, Family, Fantasy",94,94
Die_Hard,1988,132,"Action, Thriller",94,94
Ran,1985,162,"Action, Drama, War",96,95
Raging_Bull,1980,129,"Biography, Drama, Sport",94,93
Autumn_Sonata,1978,99,"Drama, Music",86,92
Taxi_Driver,1976,114,"Crime, Drama",96,93
Monty_Python_and_the_Holy_Grail,1975,91,"Adventure, Comedy, Fantasy",97,95
Chinatown,1974,130,"Drama, Mystery, Thriller",99,93
Z,1969,127,"Crime, Drama, History",94,93
For_a_Few_Dollars_More,1965,132,Western,92,94
Great_Escape,1963,172,"Adventure, Drama, History",94,95
Yojimbo,1961,110,"Action, Drama, Thriller",95,96
Judgment_at_Nuremberg,1961,179,"Drama, War",92,93
Some_Like_It_Hot,1959,121,"Comedy, Music, Romance",94,94
Wild_Strawberries,1957,91,"Drama, Romance",96,94
Seventh_Seal,1957,96,"Drama, Fantasy, History",94,93
Dial_M_for_Murder,1954,105,"Crime, Thriller",89,92
Tokyo_Story,1953,136,Drama,100,93
Rashomon,1950,88,"Crime, Drama, Mystery",98,93
All_About_Eve,1950,138,Drama,Not found,Not found
Treasure_of_the_Sierra_Madre,1948,126,"Adventure, Drama, Western",100,93
To_Be_or_Not_to_Be,1942,99,"Comedy, Romance, War",96,93
Gold_Rush,1925,95,"Adventure, Comedy, Drama",Not found,Not found
Sherlock_Jr,1924,45,"Action, Comedy, Romance",92,95
Three_Billboards_Outside_Ebbing_Missouri,2017,115,"Comedy, Crime, Drama",90,87
Handmaiden,2016,145,"Drama, Romance, Thriller",Not found,Not found
Logan,2017,137,"Action, Drama, Sci-Fi",Not found,Not found
Room,I) (,118,"Drama, Thriller",Not found,Not found
Wild_Tales,2014,122,"Comedy, Drama, Thriller",94,92
Grand_Budapest_Hotel,2014,99,"Adventure, Comedy, Crime",Not found,Not found
Gone_Girl,2014,149,"Drama, Mystery, Thriller",87,87
Hacksaw_Ridge,2016,139,"Biography, Drama, History",84,91
Inside_Out,I) (,95,"Animation, Adventure, Comedy",,36
12_Years_a_Slave,2013,134,"Biography, Drama, History",95,90
Rush,I) (,123,"Action, Biography, Drama",,
Ford_v_Ferrari,2019,152,"Action, Biography, Drama",92,98
Spotlight,I) (,129,"Biography, Crime, Drama",Not found,Not found
Prisoners,2013,153,"Crime, Drama, Mystery",,
Mad_Max_Fury_Road,2015,120,"Action, Adventure, Sci-Fi",97,86
Warrior,2011,140,"Action, Drama, Sport",Not found,Not found
Gran_Torino,2008,116,Drama,81,90
Harry_Potter_and_the_Deathly_Hallows_Part_2,2011,130,"Adventure, Fantasy, Mystery",96,89
Hachi_A_Dogs_Tale,2009,93,"Biography, Drama, Family",64,84
Mary_and_Max,2009,92,"Animation, Comedy, Drama",Not found,Not found
How_to_Train_Your_Dragon,2010,98,"Animation, Action, Adventure",99,91
Into_the_Wild,2007,148,"Adventure, Biography, Drama",83,89
No_Country_for_Old_Men,2007,122,"Crime, Drama, Thriller",93,86
V_for_Vendetta,2005,132,"Action, Drama, Sci-Fi",73,90
Million_Dollar_Baby,2004,132,"Drama, Sport",90,90
Hotel_Rwanda,2004,121,"Biography, Drama, History",91,94
Before_Sunset,2004,80,"Drama, Romance",94,92
Memories_of_Murder,2003,132,"Crime, Drama, Mystery",,
Kill_Bill_Vol_1,2003,111,"Action, Crime, Drama",85,81
Finding_Nemo,2003,100,"Animation, Adventure, Comedy",99,86
Catch_Me_If_You_Can,2002,141,"Biography, Crime, Drama",96,89
Loves_a_Bitch,2000,154,"Drama, Thriller",Not found,Not found
Monsters_Inc,2001,92,"Animation, Adventure, Comedy",96,90
Neon_Genesis_Evangelion_End_of_Evangelion,1997,87,"Animation, Action, Drama",Not found,Not found
Sixth_Sense,1999,107,"Drama, Mystery, Thriller",86,90
Truman_Show,1998,103,"Comedy, Drama",95,89
Big_Lebowski,1998,117,"Comedy, Crime, Sport",83,93
in_the_mood_for_love_2001,2000,98,"Drama, Romance",91,94
Trainspotting,1996,93,Drama,91,93
Fargo,1996,98,"Crime, Drama, Thriller",94,93
La_Haine,1995,98,"Crime, Drama",100,95
Before_Sunrise,1995,101,"Drama, Romance",100,93
Three_Colors_Red,1994,99,"Drama, Mystery, Romance",Not found,Not found
Jurassic_Park,1993,127,"Action, Adventure, Sci-Fi",92,91
In_the_Name_of_the_Father,1993,133,"Biography, Crime, Drama",94,95
Dead_Poets_Society,1989,128,"Comedy, Drama",85,92
Princess_Bride,1987,98,"Adventure, Family, Fantasy",98,94
Stand_by_Me,1986,89,"Adventure, Drama",,
Platoon,1986,120,"Drama, War",87,93
Paris_Texas,1984,145,Drama,94,93
Nausicaa_of_the_Valley_of_the_Wind,1984,117,"Animation, Adventure, Fantasy",89,74
Thing,1982,109,"Horror, Mystery, Sci-Fi",34,42
Fanny_and_Alexander,1982,188,Drama,100,94
Blade_Runner,1982,117,"Action, Sci-Fi, Thriller",90,91
Elephant_Man,1980,124,"Biography, Drama",,86
Stalker,1979,162,"Drama, Sci-Fi",,
Monty_Pythons_Life_of_Brian,1979,94,Comedy,95,93
Deer_Hunter,1978,183,"Drama, War",92,92
Rocky,1976,120,"Drama, Sport",,
Network,1976,121,Drama,92,93
Barry_Lyndon,1975,185,"Adventure, Drama, History",91,92
Cool_Hand_Luke,1967,127,"Crime, Drama",100,95
Persona,1966,83,"Drama, Thriller",91,94
Andrei_Rublev,1966,205,"Biography, Drama, History",95,93
Battle_of_Algiers,1966,121,"Drama, War",99,95
Man_Who_Shot_Liberty_Valance,1962,123,"Drama, Western",94,92
400_Blows,1959,99,"Crime, Drama",98,94
BenHur,1959,212,"Adventure, Drama, History",86,89
Nights_of_Cabiria,1957,110,Drama,100,94
Bridge_on_the_River_Kwai,1957,161,"Adventure, Drama, War",95,93
On_the_Waterfront,1954,108,"Crime, Drama, Thriller",99,95
Wages_of_Fear,1953,156,"Adventure, Drama, Thriller",100,95
Third_Man,1949,93,"Film-Noir, Mystery, Thriller",99,93
Rebecca,1940,130,"Drama, Mystery, Romance",39,39
Mr_Smith_Goes_to_Washington,1939,129,"Comedy, Drama",96,94
Gone_with_the_Wind,1939,238,"Drama, History, Romance",90,92
It_Happened_One_Night,1934,105,"Comedy, Romance",99,93
Passion_of_Joan_of_Arc,1928,114,"Biography, Drama, History",98,93
General,1926,67,"Action, Adventure, Comedy",Not found,Not found
